PC1,PC2,sample_id,file_uuid,File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
112.94479426304689,10.617976472683678,52722565-916f-4657-bf0a-827c8935bdd8.rna_seq.augmented_star_gene_counts.tsv,52722565-916f-4657-bf0a-827c8935bdd8,a3f6358e-ccdd-40be-b000-be3c72f3fb2f,52722565-916f-4657-bf0a-827c8935bdd8.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-03889,C3N-03889-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
66.8595896854022,136.2261202866581,27ad3b30-97ff-44a4-89f7-5233a3c3596e.rna_seq.augmented_star_gene_counts.tsv,27ad3b30-97ff-44a4-89f7-5233a3c3596e,3ae2f730-7444-4b65-8c75-1f8f18e6047a,27ad3b30-97ff-44a4-89f7-5233a3c3596e.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-02970,C3L-02970-03,Tumor,Primary,Solid Tissue,Snap Frozen
-95.22350170793996,59.02793828532428,37cd7491-3ee4-4e78-ab00-aa3a2d2bd204.rna_seq.augmented_star_gene_counts.tsv,37cd7491-3ee4-4e78-ab00-aa3a2d2bd204,d036d2b9-a260-4402-be67-c66da04134be,37cd7491-3ee4-4e78-ab00-aa3a2d2bd204.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-CSHL-0768-C56,HCM-CSHL-0768-C56-85O,Tumor,Metastatic,3D Organoid,Frozen
-29.38734101197932,-12.92237989499837,81f26b28-d09f-4baf-bdb3-26189f7c65f8.rna_seq.augmented_star_gene_counts.tsv,81f26b28-d09f-4baf-bdb3-26189f7c65f8,0519dffe-4da5-44e0-af5b-fccaa29ea2da,81f26b28-d09f-4baf-bdb3-26189f7c65f8.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-1042-C50,HCM-EXPT-1042-C50-01A,Tumor,Primary,Solid Tissue,Frozen
-61.47957641570841,65.33148469479465,e4240b3b-a0a3-4e36-9c91-b14275793087.rna_seq.augmented_star_gene_counts.tsv,e4240b3b-a0a3-4e36-9c91-b14275793087,2fc02520-4f6b-4cda-90c2-6ad2b5634ca5,e4240b3b-a0a3-4e36-9c91-b14275793087.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-CSHL-0820-C34,HCM-CSHL-0820-C34-85B,Tumor,Metastatic,3D Organoid,Frozen
83.56193090218777,-70.04536667131507,99db4685-0431-4417-b198-fb8db4972ca4.rna_seq.augmented_star_gene_counts.tsv,99db4685-0431-4417-b198-fb8db4972ca4,4051c6ce-d244-4254-9af6-a5fce0897910,99db4685-0431-4417-b198-fb8db4972ca4.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-00169,C3N-00169-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
20.736880657984315,-40.35763030188489,809ff0bf-33d4-46fe-9333-953a7a42c86c.rna_seq.augmented_star_gene_counts.tsv,809ff0bf-33d4-46fe-9333-953a7a42c86c,7978d5d6-8f29-43f6-8f99-43d1d058642e,809ff0bf-33d4-46fe-9333-953a7a42c86c.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-1203-C19,HCM-EXPT-1203-C19-06A,Tumor,Metastatic,Solid Tissue,Frozen
69.49995104214881,1.8650504856512744,d18f6904-caf9-4df7-80f2-f17d6de617a9.rna_seq.augmented_star_gene_counts.tsv,d18f6904-caf9-4df7-80f2-f17d6de617a9,5cb9ed61-4644-47f0-87d9-778081813c09,d18f6904-caf9-4df7-80f2-f17d6de617a9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-01761,C3N-01761-05,Normal,Not Applicable,Solid Tissue,Snap Frozen
-11.930508747434143,-37.93209107172993,7460c7a2-89f9-4c1a-ade3-cd7e092fc034.rna_seq.augmented_star_gene_counts.tsv,7460c7a2-89f9-4c1a-ade3-cd7e092fc034,2ef82f9c-ffa0-4b5f-967e-4cd677b6303a,7460c7a2-89f9-4c1a-ade3-cd7e092fc034.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-02925,C3N-02925-03,Normal,Not Applicable,Solid Tissue,Snap Frozen
9.699279904699921,-16.657491921340128,a701a538-1b24-457d-bf14-fc3c00b18bb0.rna_seq.augmented_star_gene_counts.tsv,a701a538-1b24-457d-bf14-fc3c00b18bb0,ecdd71f6-779a-492d-bc88-79f4f97efa5f,a701a538-1b24-457d-bf14-fc3c00b18bb0.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-01944,C3N-01944-04,Normal,Not Applicable,Solid Tissue,Snap Frozen
